Date avis;Date fin d'expérience;Êtes-vous venu :;Verbatim public;Verbatim privé
29/01/2024;01/01/2024;Avec des jeunes enfants;Ma fille de 5 ans et moi passons toujours une bonne journée, surtout quand ça ferme tard, elle adore la nocturne. Pour les petits de 1m20 il y a encore plus de choix. <br />Adieu Nationale 7, l'attraction préférée de ma fille.;Osez habiller les personnels en barbares, pirates, numides ou gaulois plutôt qu'en rouge et noir et baskets. <br />Les braises et feux pour se réchauffer étaient parfaits. <br />Nationale 7 va nous manquer. Je voudrais racheter des objets de déco
28/01/2024;28/12/2023;Avec des jeunes enfants;;Nous sommes allés au Parc Asterix au moment où la nuit tombe très tôt vers 17h30... De ce fait on s'est vite retrouvé dans le noir et très peu d'éclairage dans les allées. De même pour se déplacer dans le parc il devrait y avoir plus de panneaux d'indication, il y en a très peu et qui indiquent uniquement la direction des grandes attractions.
26/01/2024;03/01/2024;En couple;C'est très simple à utiliser.;"Je pense que le Parc Astérix est merveilleux pour les gens qui aiment les montagnes russes, particulièrement avec Toutatis, et il est très amusant pour les petits aussi. Par contre, le parc manque un peu plus d'attractions du genre ""dark ride"".  Arrivant du Brésil, <br />dans l'ensemble, j'ai adoré le parc <3"
24/01/2024;07/01/2024;Entre amis;Toujours heureux d y  passer un moment avec notre pass annuel  chaque saison est différente on a adoré le chemin  enchanté illuminé au niveau des bouets  féerique  on se croyait dans un conte   <br />C était génial à refaire dommage dernier jour difficile de trouver un café sans faire une quête de 30 mn et encore ..;
24/01/2024;06/01/2024;Entre amis;le site est facile pour les commandes30;mauvaise expérience avec l'achat de la navette de l'aéroport Charles de gaulle pour allez au parc Astérix déjà 30 min pour échanger le billet plus 1h30 d'attente pour le bus il faudrait retirer l'échange du billet pour la navette et monter dans le bus directement et aussi rajoutez pour les gens pass annuel du parc asterix une option pour payer moins chère la navette
23/01/2024;06/01/2024;Seul;;Het zou erg leuk zijn als er een speciale winkel was waar verzamelobjecten of kunstenaars producten aanwezig was.
22/01/2024;06/01/2024;Avec des ados;.;Nous étions déjà venus 3 fois cette année car nous apprécions, au-delà de notre profond respect pour le monde de cette BD, la puissance de certaines attractions et l'esprit gaulois du parc. Et nous avez voulu tenté la période des fêtes. Nous avons mesuré clairement cette fois-ci les deux limites de ce parc, accrues à Noël par les difficultés de la météo : l'offre alimentaire est très très mal organisée (queues terriblement longues (25-40 minutes) pour ce qui est à emporter et service anormalement interminable  à table- une fois commandé, 45 minutes avant d'être servis). Décourageant ! Et aux attractions, 60 minutes de queues en deviennent en réalité 90 à cause des fraudeurs permanents car il n'y a aucune surveillance ni canalisation ! Bien pire qu'à Disney !!! Profondément décevant.
20/01/2024;02/01/2024;Avec des ados;IL EST BIEN DOMMAGE QUE QUAND IL PLEUT DE NE TROUVER AUCUNS ENDROITS OU S ASSOIR A L ABRI ! AU PRIX DE L ENTREE CELA ME SEMBLE POURTANT INDISPENSABLE !;
19/01/2024;06/01/2024;Avec des jeunes enfants;C est ma 1ere visite avec enfants et petits enfants j ai bien apprécié il y a des attractions pour tous les ages. Et bravo pour les decors du jardin du père Noël c etait magique;
17/01/2024;01/01/2024;Avec des ados;Suite à une panne nous sommes resté bloqué dans en train en hauteur  pendant 20 minutes sans aucune information. Au bout de 20 minutes une personne nous a rejoint sans même nous expliquer ce qui se passait. J’ ai eu une attaque de panique et le technicien n’as pas voulu que je descende du train  car il n’avait pas avec lui la clé pour me faire sortir. Cela a fortement impacté ma journée.;Un peu plus d’assistance et empathie. 
17/01/2024;02/01/2024;Avec des ados;"Superbe ambiance à la période de Noel <br />""Les jardins merveilleux du Père Noel"" c'est tout simplement magnifique <br />Parc très propre <br />";"Un peu plus d'attractions familiales sans trop de sensation forte seraient les bienvenues <br />Dommage que l'espace avec les fontaines n'existe plus dans ""le défi de César"""
17/01/2024;27/12/2023;Avec des ados;Notre visite au Parc à été une belle découverte. L'ambiance de Noel avec ses décorations y été très agréable malgré les longues attentes avant d'accéder aux attractions. Bémol sur les stands de snaking : peu d'ouvert, personnel rare et manque de provision. Si au moins le parc distribué des marrons chauds dans les files d'attentes... le temps passerait plus vite ! Toutatis est TOP !!!;Refaire la queue pour un croque-monsieur (pas de formule : il n'y a plus de chips) alors qu'on a juste envie de s'asseoir... grrr !!! et que pendant le temps de chauffe nous suggérons à la personne de nous encaisser pour limiter le temps d'attente des suivants... c'est un manque de formation et d'organisation ! Dommage. Le parc est propre et les coins feu ou braséro : Super ! Toutatis est TOP !!!
17/01/2024;27/12/2023;En couple;I went on the last week of 2023. The park naturally had the water rides closed in the winter, which was well communicated. Sadly it seems the park did not reduce the attendance, causing the park to be unacceptably crowded everywhere. <br />All main rides were around one hour wait, sometimes going as high as 90 minutes. The most frustrating experience is that even to get snacks (!!!) we had to spend around one hour queueing, and this happened multiple times at different shops in different days. <br />After visiting Phantasialand and Efteling I had a certain expectation for my experiences. Parc Astérix is on par (or close to) when it comes to attractions. But the experience is not nearly as good. <br />We did fewer attractions per day than anywhere else. <br />Overall: I will not be going back.;Hi. In my experience the park is too overcrowded and the wait times are not acceptable. I understand you want people to spend money on Filotomatix, but this is too far. We were able to do half as many attractions in Parc Asterix as we did in Phantasialand and Efteling in one day. And this happened across both days we were there. <br />The park has great attractions but I think it has a management problem. Few operators combined with too many tickets sold is a problem that cannot be ignored at the excuse of Filotomatix. <br />Overall, I will not recommend visiting this park.
16/01/2024;07/01/2024;Avec des ados;"Week-end à asterix, Noël des enfant...  <br />Perte de temps de A à Z, de l'arrivée à l'hôtel aux repas à l'hôtel comme  dans le parc!! Et 1h40/2h de queue par attraction ""EN PLUS""... <br />Repas, 1h d'attente pour 4 hot dog..., desserts encore congelés à l'intérieur. <br />Goûter, 4 gauffres... encore congelés au centre... une HONTE!! <br />Dîner à l'hôtel, 30 minutes d'attente pour être mis à table ""encore"", et ne plus avoir de choix en étant mid à table à 22h avec 2 enfants... plats restant secs, viande et poisson desséchés sous les lampes du buffet, soupe hyper reduite, salée, immangeable! Peu de desserts, même plus de galette des rois pour les enfants😓 <br />Le responsable de l'hôtel a été informé de notre mécontentement le premier jour,  j'attends encore un retour de la direction?? 800e pour ça??? Et j'en passe!";J'attends toujours un retour de la direction, nous sommes hyper déçus... un week-end chez vous il y a 3 ans aux 3 hiboux, pour les 10ans de notre fils, Impeccable et pourtant en plein juillet! <br />Les enfants sont répartis déçus et fatigués d'attendre dans le froid😪😪, j'aurais préféré qu'ils nous sautent au cou pour nous remercier..... <br />Plus de 800e dépensé chez vous, c'est énorme pour nous...
16/01/2024;06/01/2024;Avec des jeunes enfants;Globalement j'ai apprécié mon séjour! Pas eu la possibilité de dormir dans les hôtels du parc qui étaient complets! Entrée/sortie assez rapide malgré le monde ce dernier samedi avant fermeture. Je regrette de ne pas avoir pu choisir nos pass filotomatix illimités et le certificat médical établi par mon médecin pour mes problèmes de dos n'a même pas été pris en compte pour pouvoir en acheter, on a finalement pu avoir des pass argent c'est mieux que rien.. <br />Côté attraction il y en a pour tous les goûts, j'aime pour ma part les sensations fortes et j'ai beaucoup apprécié dans l'ordre toutatis, oziris, goudurix et même pégase express avec les enfants. Par contre j'ai fait tonnerre de zeus dans les 2 sens, les sensations sont là mais le manège est très désagréable ça tape tout le long, dommage!!;J'ai vraiment été déçu qu'avec le certificat médical établi par mon médecin, indiquant que mes problèmes vertébraux ne me permettent pas la station debout prolongée, ne m'ait même pas permis d'acheter des pass illimités qui n'étaient plus disponibles à la vente! Sinon il faudrait revoir les raccords de rails sur tonnerre de zeus c'est vraiment désagréable ces secousses tout le long on ne profite pas du reste des sensations... Le reste était très bien on a passé un bon séjour! Merci
16/01/2024;25/12/2023;Avec des ados;Bien dans l'ensemble ;Bonjour <br />J'ai pas pu profiter pleinement de mon pass 2023 ainsi que m'a fille. <br />Vous pouvez constater par vous même via l'informatique que je n'ai fait que 2 entrées <br />Je pensais que le pass était valide un an a partir de la première entrée <br />Je voulais savoir si c'est possible d'avoir un geste commercial pour le pass 2024  <br />Merci cordialement
15/01/2024;07/01/2024;Avec des ados;Meilleurs manèges de ma vie!;
15/01/2024;07/01/2024;Avec des ados;Parc très bien entretenu et disposant d’attractions variées ;Pour la période de Noël, le parc est superbement décoré dans certaines zones mais pas du tout dans d’autres , par exemple vers Tonnerre de Zeus ou dans la partie de la Grèce où vers l’Egypte. A certains endroits il y a même trop de guirlandes je trouve vers les bateaux Epidemaïs. Sinon très beau spectacle dans les arènes pour Noël. 
15/01/2024;31/12/2023;Avec des ados;très bon  séjour;
15/01/2024;29/12/2023;Avec des ados;Très bon moment. Bravo pour les animations de Noël. <br />Le spectacle sur glace était magique.;
14/01/2024;07/01/2024;Avec des ados;Une saison remplie de folie au parc Astérix ! Dommage que le pass saison prémium à réduit ses avantages malheureusement ca sera sans nous la saison prochaine.;remettre les avantages du pass saison comme à l'origine surtout par rapport au nocturnes PSLP. Augmenter les contrôles concernant les produits stupéfiants trop présent pour un parc familial.
